 ,,male then female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
401630,402554,406751,416855,430088,424001,415558,411238,414564,401517,392321,377345,370934,360714,355305,364968,376563,389347,396213,412473,420121,422155,439167,441826,453162,468437,460896,452199,453723,439588,447143,446994,434760,436208,434159,438530,438648,421655,393382,387930,392911,399936,406621,425495,443921,455248,445377,455765,456227,464338,461476,465066,460647,451688,442875,427953,410189,400779,391588,376664,362766,347996,347226,342576,330729,331974,336563,344726,361029,389759,298550,286665,284335,260737,230007,203808,208628,203267,194087,179601,165896,152996,136457,124118,114574,102258,88486,74887,62141,52736,43410,34740,27200,20790,15830,11650,7560,4120,2400,1590,1030,620,360,200,110,51.54075675,22.0756569,8.521230309,2.901109548,0.845334979,0.201515389,0.036635498,0.004425196,0.000245149
380820,382188,386860,396501,410067,404600,396926,392573,395203,381276,374109,359526,353532,343277,337999,348297,356064,368440,375458,391104,393674,398448,415997,424931,444270,450772,443360,444416,451898,445359,444522,445011,436330,441075,441961,444148,444196,425202,396362,389484,399287,406885,414861,432517,451631,469455,458020,470035,470060,474622,476699,480428,475422,464570,453110,437643,420237,411466,402231,387935,374008,360968,362507,357300,348157,350494,357795,364939,384525,414713,321010,311262,309430,289868,260201,235265,241909,238785,230502,218672,207307,194940,179575,169146,161737,151282,138636,121999,106597,93966,81870,69810,59050,49440,41010,32770,23420,14020,9060,6610,4740,3160,1960,1190,660,341.1550233,163.929631,72.10747424,28.56470846,9.97083138,2.974618069,0.725616896,0.134482111,0.016392647
0.004225,0.000306,0.000163,0.000127,0.00009,0.000092,0.000091,0.000085,0.000066,0.000085,0.000094,0.0001,0.000095,0.000101,0.000125,0.000158,0.000213,0.000296,0.000414,0.000453,0.000472,0.000508,0.000499,0.000556,0.000548,0.000586,0.000627,0.00063,0.000667,0.000698,0.000742,0.000763,0.0009,0.000885,0.000969,0.001026,0.001096,0.001144,0.001324,0.00137,0.001562,0.001689,0.001746,0.001917,0.002134,0.002217,0.002387,0.002656,0.002736,0.00302,0.003346,0.003478,0.003728,0.003997,0.004404,0.004983,0.005369,0.005841,0.006467,0.007138,0.007973,0.008705,0.009435,0.010508,0.011457,0.012341,0.013277,0.014299,0.015724,0.017481,0.019345,0.021551,0.023858,0.026318,0.029978,0.032982,0.035962,0.039906,0.044247,0.049114,0.055551,0.061479,0.06962,0.078647,0.087626,0.098711,0.109377,0.122242,0.137393,0.15084,0.167902,0.182124,0.200479,0.2217,0.24432,0.262511,0.282757,0.293524,0.325296,0.343011,0.372477,0.399684208,0.428784705,0.459695557,0.495440525,0.531447666,0.571685433,0.613998788,0.659543347,0.708616664,0.761614752,0.818199997,0.879210155,0.944601511
0.003515,0.000246,0.000137,0.000105,0.000081,0.000067,0.000074,0.000074,0.00006,0.000069,0.000059,0.000061,0.00006,0.000106,0.000112,0.000138,0.000161,0.000154,0.000209,0.000209,0.000205,0.00022,0.000219,0.000232,0.000231,0.000249,0.000273,0.000271,0.000327,0.000351,0.000385,0.000412,0.000467,0.000492,0.000531,0.000589,0.000655,0.000679,0.000758,0.000812,0.000943,0.000969,0.001089,0.001162,0.001286,0.001464,0.001534,0.001633,0.001769,0.001874,0.002141,0.002347,0.002537,0.002784,0.002998,0.003349,0.003625,0.003982,0.004243,0.004798,0.005258,0.005653,0.006295,0.006798,0.007356,0.007901,0.008734,0.009363,0.010519,0.011513,0.013008,0.014413,0.016044,0.018061,0.01993,0.022241,0.025145,0.027579,0.030879,0.034713,0.039987,0.044846,0.051165,0.05845,0.066387,0.07466,0.085013,0.096337,0.108237,0.122436,0.138353,0.151311,0.16843,0.185206,0.209256,0.226606,0.245149,0.261032,0.286353,0.312518,0.330584,0.35679467,0.384867805,0.414947863,0.448303367,0.48309845,0.519486392,0.56013154,0.603859256,0.650938801,0.701668,0.756063844,0.814665133,0.878105374
0,-0.927573964,-0.467320261,-0.220858896,-0.291338583,0.022222222,-0.010869565,-0.065934066,-0.223529412,0.287878788,0.105882353,0.063829787,-0.05,0.063157895,0.237623762,0.264,0.348101266,0.389671362,0.398648649,0.094202899,0.041942605,0.076271186,-0.017716535,0.114228457,-0.014388489,0.069343066,0.06996587,0.004784689,0.058730159,0.046476762,0.063037249,0.028301887,0.179554391,-0.016666667,0.094915254,0.058823529,0.068226121,0.04379562,0.157342657,0.034743202,0.140145985,0.081306018,0.03374778,0.097938144,0.113197705,0.038894096,0.076680198,0.112693758,0.030120482,0.10380117,0.10794702,0.03945009,0.071880391,0.072156652,0.10182637,0.13147139,0.077463375,0.087912088,0.107173429,0.103757538,0.116979546,0.091809858,0.083859851,0.11372549,0.090312143,0.077158069,0.075844745,0.07697522,0.099657319,0.111740015,0.106630055,0.114034634,0.107048397,0.103110068,0.139068318,0.100206818,0.090352313,0.10967132,0.108780634,0.109996158,0.131062426,0.10671275,0.1324192,0.129661017,0.114168373,0.126503549,0.108052801,0.117620706,0.123942671,0.097872526,0.113113233,0.084704173,0.100782983,0.105851486,0.10202977,0.074455632,0.077124387,0.038078633,0.108243278,0.054458094,0.085903951,0.073043996,0.072808723,0.072089446,0.077757914,0.072677021,0.075713508,0.074015101,0.074176952,0.07440499,0.074790915,0.074296415,0.074566314,0.074375114
0,-0.930014225,-0.443089431,-0.233576642,-0.228571429,-0.172839506,0.104477612,0,-0.189189189,0.15,-0.144927536,0.033898305,-0.016393443,0.766666667,0.056603774,0.232142857,0.166666667,-0.043478261,0.357142857,0,-0.019138756,0.073170732,-0.004545455,0.059360731,-0.004310345,0.077922078,0.096385542,-0.007326007,0.206642066,0.073394495,0.096866097,0.07012987,0.133495146,0.053533191,0.079268293,0.109227872,0.112054329,0.036641221,0.11634757,0.071240106,0.161330049,0.02757158,0.123839009,0.067033976,0.106712565,0.138413686,0.047814208,0.064537158,0.083282303,0.059355568,0.142475987,0.096216721,0.08095441,0.097359086,0.076867816,0.117078052,0.08241266,0.098482759,0.065544952,0.130803677,0.095873281,0.075123621,0.113568017,0.079904686,0.082082966,0.074089179,0.105429692,0.072017403,0.123464701,0.094495674,0.129853209,0.108010455,0.113161729,0.125716779,0.103482642,0.115955845,0.130569669,0.096798568,0.11965626,0.124162052,0.151931553,0.121514492,0.140904428,0.142382488,0.135791275,0.124617772,0.138668631,0.133203157,0.12352471,0.131184345,0.130002614,0.093658974,0.113137842,0.099602209,0.129855404,0.082912796,0.081829254,0.064789169,0.097003433,0.091373235,0.05780787,0.07928596,0.078681487,0.078156859,0.080384807,0.077615036,0.075322003,0.078241025,0.07806687,0.077964433,0.077932362,0.077523622,0.077508386,0.077872783
-0.0319,-0.02974,-0.03306,-0.0316,-0.03992,-0.03419,-0.03301,-0.0318,-0.03901,-0.02845,-0.02392,-0.02681,-0.02717,-0.0285,-0.03049,-0.02629,-0.02546,-0.03521,-0.02745,-0.02361,-0.02118,-0.01516,-0.01577,-0.01174,-0.0122,-0.00994,-0.00933,-0.00856,-0.00699,-0.00693,-0.00633,-0.00571,-0.00232,-0.00316,-0.00254,-0.00393,-0.00327,-0.00607,-0.00417,-0.00581,-0.00763,-0.00854,-0.00792,-0.00929,-0.01062,-0.01316,-0.01409,-0.01462,-0.01615,-0.01809,-0.01845,-0.02031,-0.02197,-0.02365,-0.02429,-0.02418,-0.02454,-0.0254,-0.02535,-0.02569,-0.02485,-0.02442,-0.02525,-0.0253,-0.02556,-0.02581,-0.02592,-0.0266,-0.02656,-0.02623,-0.02596,-0.02544,-0.02566,-0.02541,-0.02407,-0.0238,-0.02369,-0.02315,-0.02277,-0.02226,-0.02098,-0.02015,-0.01907,-0.01774,-0.01652,-0.01479,-0.0145,-0.01331,-0.0121,-0.00953,-0.00765,-0.0072,-0.00659,-0.00517,-0.00554,-0.00425,-0.00355,-0.0022,-0.00121,-0.00081,-0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00349,0.0053,0.00721,0.00971,0.00957,0.00882,0.00854,0.0118,0.00952,0.01019,0.01208,0.00944,0.01013,0.01207,0.00684,0.00992,0.00897,0.00726,0.00656,0.007,0.00627,0.00757,0.00624,0.00748,0.00689,0.00606,0.00716,0.00614,0.0069,0.00555,0.00474,0.00428,0.00609,0.00496,0.00562,0.00519,0.005,0.00395,0.00438,0.00344,0.00428,0.00361,0.00454,0.00345,0.00337,0.0032,0.0031,0.00423,0.00298,0.00312,0.00389,0.00274,0.00262,0.00229,0.00232,0.00269,0.00237,0.00245,0.00234,0.00227,0.00234,0.00218,0.0023,0.00231,0.00272,0.00244,0.00237,0.00209,0.0025,0.00233,0.00241,0.00217,0.00211,0.00202,0.00248,0.00218,0.00213,0.00201,0.00188,0.00216,0.00206,0.00195,0.00194,0.00199,0.00197,0.00263,0.00241,0.00281,0.00292,0.00336,0.00279,0.00286,0.00338,0.00292,0.00303,0.0024,0.00258,0.00332,0.00307,0.00558,0.0051,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333,0.004583333
-0.02994,-0.03023,-0.03231,-0.02931,-0.03059,-0.03492,-0.03123,-0.02433,-0.03161,-0.0177,-0.03239,-0.02799,-0.02824,-0.01616,-0.01815,-0.01443,-0.0172,-0.01994,-0.01566,-0.0123,-0.01693,-0.01164,-0.01349,-0.01358,-0.01331,-0.01245,-0.01252,-0.01521,-0.00744,-0.00913,-0.00885,-0.00875,-0.00708,-0.00841,-0.00758,-0.00853,-0.00873,-0.00912,-0.00977,-0.00984,-0.00963,-0.01208,-0.01093,-0.01269,-0.01316,-0.01233,-0.01429,-0.01546,-0.01615,-0.01895,-0.01788,-0.0169,-0.01767,-0.0192,-0.01961,-0.01887,-0.01909,-0.0198,-0.01953,-0.01902,-0.01907,-0.01915,-0.01877,-0.01942,-0.01978,-0.01964,-0.01942,-0.02036,-0.01924,-0.01931,-0.01911,-0.01859,-0.01872,-0.01826,-0.01853,-0.01841,-0.01773,-0.01812,-0.01783,-0.01738,-0.01674,-0.01608,-0.01571,-0.01488,-0.0142,-0.01348,-0.01299,-0.01142,-0.01091,-0.01022,-0.00724,-0.00724,-0.00663,-0.00556,-0.00423,-0.00402,-0.00349,-0.00327,-0.00221,0.00064,-0.0024,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333,-0.001323333
0.00325,0.00746,0.01011,0.00929,0.01172,0.00848,0.0056,0.01199,0.0134,0.01841,0.01391,0.01434,0.01281,0.0105,0.01027,0.01192,0.01049,0.0083,0.00992,0.00769,0.00617,0.00714,0.00698,0.00825,0.00717,0.00674,0.00525,0.00875,0.00573,0.00541,0.00619,0.00498,0.0056,0.00432,0.00562,0.00433,0.00525,0.00511,0.00457,0.00389,0.00469,0.00453,0.00257,0.00385,0.00307,0.00295,0.00472,0.00267,0.00322,0.00278,0.00283,0.00316,0.00255,0.0027,0.00256,0.00253,0.00185,0.00218,0.00239,0.00224,0.00248,0.00212,0.00246,0.00258,0.00238,0.00231,0.0026,0.00236,0.00217,0.00228,0.00248,0.00234,0.00241,0.00247,0.00225,0.00206,0.00216,0.00173,0.00176,0.00184,0.00193,0.00182,0.00179,0.00168,0.00166,0.0021,0.00222,0.00271,0.00256,0.00257,0.00231,0.00238,0.00286,0.00294,0.00265,0.00216,0.00223,0.00217,0.00242,0.00282,0.00323,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333,0.002823333
0.020350425,0.030908359,0.042051159,0.056624162,0.055791274,0.051448483,0.049781833,0.068787211,0.055523271,0.059416515,0.070438281,0.055039474,0.059095598,0.070382524,0.039883403,0.057857572,0.052300957,0.042330175,0.038256045,0.040822494,0.036581945,0.044167755,0.036405781,0.043601605,0.0401535,0.035322661,0.041768381,0.035825607,0.040243902,0.032337914,0.027655264,0.024984625,0.035502755,0.028942187,0.032765363,0.030241117,0.029134744,0.023011015,0.025520213,0.020080768,0.024962976,0.021045307,0.026474079,0.020120689,0.019629121,0.018652197,0.018098596,0.024650849,0.017404092,0.018216188,0.022699916,0.01599061,0.015278112,0.013355274,0.013552848,0.015680504,0.013826601,0.014259743,0.013644719,0.013231155,0.013653955,0.012736137,0.013423568,0.013492086,0.01588378,0.014205775,0.013828868,0.012199191,0.014557557,0.013565668,0.014075324,0.012661356,0.012280104,0.011766832,0.014486679,0.012686876,0.012433841,0.011695981,0.010959982,0.012579373,0.01199021,0.011358656,0.0113037,0.011590604,0.011493577,0.015355751,0.014040581,0.016369198,0.017029918,0.019604705,0.016289574,0.016666704,0.019722501,0.017045377,0.017668305,0.0140142,0.01502742,0.019346763,0.017901839,0.032530809,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057,0.02975057
0.019238788,0.044140301,0.059810236,0.054982351,0.06934866,0.050177981,0.033125976,0.070922329,0.079288027,0.108930624,0.082287554,0.084851241,0.075802316,0.062106697,0.06077483,0.070507925,0.062079977,0.049125065,0.058701983,0.045517615,0.036500269,0.042264228,0.041271539,0.048824707,0.04241847,0.039888314,0.03103826,0.051784554,0.033920579,0.031996132,0.036606294,0.02946201,0.033114513,0.025544839,0.033244318,0.025643259,0.031060327,0.030213953,0.027034617,0.022988867,0.027717087,0.026777559,0.01519938,0.022756512,0.018141462,0.017474871,0.027911074,0.015798127,0.01906391,0.016459237,0.016744864,0.018721117,0.015105945,0.015978654,0.01512482,0.014945291,0.010951991,0.012924524,0.014141682,0.013242758,0.014687756,0.012557381,0.014555049,0.015235333,0.014060124,0.013688424,0.015392128,0.013961758,0.012864014,0.013459605,0.014668519,0.01383594,0.014266841,0.014598242,0.013295857,0.012190934,0.012767574,0.010214525,0.010387554,0.010859966,0.011405856,0.010760438,0.010587,0.009943247,0.009809041,0.012414163,0.013144986,0.016026513,0.01514711,0.015200339,0.01369297,0.014052435,0.016948707,0.01739734,0.015693808,0.012790271,0.013176044,0.012863641,0.014312585,0.016694386,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468,0.019087468
